task,baseline_D,reference_best_fit_D,capacity_first_fit_D,recommended_D,baseline_spills,recommended_spills,schedule_improvement_percent,allocator_improvement_percent,total_improvement_percent,spill_reduction_percent,all_valid
Conv_Case0,173180,174716,155588,152900,520,496,10.158217,1.72764,11.710359,4.615385,True
Conv_Case1,660550,658148,109004,104826,8576,3169,83.497994,3.832887,84.130497,63.048041,True
FlashAttention_Case0,52708,52452,17172,16912,367,70,67.420505,1.514093,67.913789,80.926431,True
FlashAttention_Case1,241412,241444,92836,92576,1700,401,61.544579,0.280064,61.652279,76.411765,True
Matmul_Case0,34816,34816,34816,34816,272,272,0.0,0.0,0.0,0.0,True
Matmul_Case1,460800,460800,460800,460800,3600,3600,0.0,0.0,0.0,0.0,True
TOTAL,1623466,1622376,870216,862830,15035,8008,46.397646,0.848755,46.852598,46.737612,True
